Site_Index	Partition_Index	Rate_Category
1	1	8
2	1	17
3	1	19
4	1	10
5	1	12
6	1	1
7	1	7
8	1	17
9	1	1
10	1	7
11	1	11
12	1	14
13	1	15
14	1	11
15	1	5
16	1	16
17	1	20
18	1	12
19	1	13
20	1	5
21	1	4
22	1	3
23	1	9
24	1	16
25	1	12
26	1	11
27	1	7
28	1	9
29	1	1
30	1	12
31	1	14
32	1	6
33	1	8
34	1	2
35	1	18
36	1	10
37	1	2
38	1	18
39	1	1
40	1	5
41	1	19
42	1	8
43	1	16
44	1	5
45	1	20
46	1	14
47	1	8
48	1	1
49	1	10
50	1	11
51	1	13
52	1	6
53	1	13
54	1	13
55	1	20
56	1	17
57	1	16
58	1	10
59	1	11
60	1	12
61	1	1
62	1	15
63	1	13
64	1	17
65	1	12
66	1	12
67	1	17
68	1	6
69	1	15
70	1	11
71	1	7
72	1	7
73	1	4
74	1	11
75	1	19
76	1	6
77	1	2
78	1	19
79	1	5
80	1	15
81	1	2
82	1	10
83	1	20
84	1	18
85	1	11
86	1	18
87	1	9
88	1	10
89	1	17
90	1	9
91	1	8
92	1	17
93	1	14
94	1	16
95	1	11
96	1	3
97	1	20
98	1	6
99	1	19
100	1	15
